but_cluthers
Id;Title;Description;CreatedAt;source;Sentiment;Categories
1167;Enseigne à vomir.;Pas de remboursement, des vendeurs qui mentent, des vendeurs désagréables et des frais de port réellement abérant. Fermez votre enseigne et vendez vos locaux. Vu les autres avis je ne suis pas le seul à vouloir votre faillite.Plus jamais je ne viendrais chez vous.N'oubliez pas, au passage, à crier sur vos vendeurs quand vous les virez, comme ils nous crient dessus quand on demande à commander un meuble.;2025-02-05 10:28:23;Trustpilot;0.72;Service et SAV, Expérience en magasin
1168;Leur plate-forme de service après-vente…;Leur plate-forme de service après-vente est une honte !Mes parents ont acheté avant Noël une gazinière dont le four s'est avéré ne pas fonctionner lors de l'installation !A ce jour début févier 2025, aucun technicien n'est encore venu voir la pièce défectueuse, donc aucune commande passée, aucun dépannage.... et la plate-forme est injoignable !!!!!Conséquence : 350 € pour une gazinière qui ne marche pas !Je ne recommande pas BUT ! C'est bien le dernier achat chez eux !Mme LUSSAC- Langon, la Réole;2025-02-05 10:28:23;Trustpilot;0.97;Qualité produit, Expérience e-commerce, Montage et installation, Service et SAV
1169;SAV BUT Incompétent et méprisant envers ses clients;"Lave linge acheté en juillet 2023, troisième panne le 28 décembre 2025 (tjrs la même).Dossier enfin enregistré par le SAV le 11 janvier, suite à une conversation le 9 janvier, car SAV injoignable les semaines précédentes, malgré de nombreux messages laissés à l'accueil et en ligne.Trois appels par semaine depuis, en vain, rien n'avance.On me propose une machine de prêt  mais je dois aller la chercher et la monter (3étages sans ascenseur) chez moi, à mes frais. J'ai dû refuser, vivant seule.Suite à mes appels, on m'informe qu'un SMS m'a été envoyé pour fixer un RDV. SMS Jamais reçu, ni dans mes SPAM ! le SAV a dû le signaler à son sous traitant ???Nous sommes le 5 février et toujours aucune intervention ni contact de leur sous-traitant SFG.Je dois demander à mes amis et voisins de laver mon linge car étant en convalescence pour deux mois suite opération chirurgicale, je ne dois pas conduire (pour aller à la laverie par exemple).Personne ne me rappelle malgré toutes mes réclamations téléphone au SAV, mes mails au service clients BUT et au SAV.C'est juste inadmissible, sans parler du fait que la machine n'a pas deux ans et a subi la même panne deux fois précédemment (courroie tambour) et que la pièce n'a pas été changée la deuxième fois, ce qui aurait pu éviter une troisième panne peut être.On peut envisager un défaut sur cette machine presque neuve aussi.Je ne sais plus quoi faire pour les ""toucher"".Aujourd'hui, j'ai appelé toute la matinée et au bout de 5 mn d'attente, la communication est coupée.";2025-02-05 10:28:23;Trustpilot;1.64;Service et SAV, Expérience e-commerce, Qualité produit
1170;0/5 si je pouvais mettre une note…;0/5 si je pouvais mettre une note négative, je le ferais.J'ai acheté une étagère 30 euros le 16 décembre qui était soit disant en stock. On attend 20 minutes, on nous annonce qu'elle n'est pas en stock qu'il la commande la semaine d'après.Aucunes nouvelles, j'y retourne deux fois. On me dit, on vous envoie un message quand on la reçoit.Aucun sms ni mail, j'y retourne une 3 ème fois pour demander un remboursement.La réponse : on a bien du stock et on vous la livrer.Je n'ai rien signé et rien réceptionné !! Venez chez moi, vérifier la signature !!!On nous fait encore attendre et on nous dit qu'on nous appelle.Et là toujours pas de nouvelles, pas de meubles et 30 euros en moins. Heureusement que ce n'était pas un meuble a 300 euros hein.En attendant je m'assois sur mon meuble et mes 30 euros ???? Où va le monde ???Magasin a fuire, service client déplorable.On accuse le client de vol alors que le meuble payé est livré a n'importe qui.....;2025-02-03 10:28:23;Trustpilot;0.72;Expérience en magasin, Service et SAV, Expérience e-commerce
1171;Accueil agréable;Accueil agréable,  les conseillers compétentes disponibles;2025-02-03 10:28:23;Trustpilot;7.9;Expérience en magasin
1172;N'ayant toujours pas reçu ma commande…;N'ayant toujours pas reçu ma commande qui devait être livrée il y a 8 jours (le délais maxi), j'ai contacté le service client qui me dit que ma livraison se fera dans 1 mois. Je demande que l'on me rembourse les frais de livraison, en tant que geste commercial. On me répond que non ce n'est pas possible sinon but va perdre de l'argent. Voilà voilà bravo;2025-02-04 10:28:23;Trustpilot;1.39;Service et SAV, Expérience e-commerce
1173;Très mécontente;Très mécontente ! Super expérience en magasin avec vendeur.eu.se.s qui prennent le temps de bien conseiller ! Par contre suivi de commande déplorable !!!! Plus d'un mois et demi de delais - impossible d'avoir un suivi correct de la livraison. Apparemment sur palette depuis 2 semaines dans le hangar d'arrivé mais en sous effectif donc ne peuvent pas le mettre à dispo. ----> Embauchez !!!;2025-01-12 10:28:23;Trustpilot;3.94;Service et SAV, Expérience e-commerce, Expérience en magasin
1174;Honteux vraiment le service client;Honteux vraiment le service clientOn appelle personne répond toute la journée soit disant toutes les lignes sont occupées comme par hasard. Personne veut bosser je crois...On envoie des mails pour une commande toujours pas livrée pas de réponse !Par contre les vendeurs sont grave réactifs pour vendre et faire des promesses lors de l'achat. Mais but ne tiens pas ses promesses je n'acheterai plus chez eux c'est fini.;2025-01-31 10:28:23;Trustpilot;2.33;Service et SAV, Expérience e-commerce
1175;Longue longue longue attente;J'ai acheté un canapé le 18/11/2024 , nous sommes le 03/02/2025 et je n'ai toujours pas reçu le canapé ...( bientôt 3 mois , je commence à m'énerver) . Que dois je faire pour entrer en possession du bien payé au 2/3 .;2025-02-03 10:28:24;Trustpilot;2.25;Service et SAV, Expérience e-commerce
1176;Vendeur m'a bien conseillé pour les…;Vendeur m'a bien conseillé pour les produits achetés ce jour.;2025-01-24 10:28:24;Trustpilot;7.67;Expérience en magasin
1177;Le SAV de But est SAV déplorable;Le SAV de But est SAV déplorable. Confié à un sous traitant, celui-ci n'a aucune pièce détachée d'avance ce qui conduit systématiquement à 2 interventions minimum soit près de 2 mois sans que votre appareil soit réparé. Chez Conforama au moins ils ont des techniciens qui disposent d un minimum de pièces d'avance;2025-02-03 10:28:24;Trustpilot;0.94;Service et SAV
1178;Tout à fait satisfait de l'accueil;Tout à fait satisfait de l'accueil, du conseil et du délai de livraison (une quinzaine de jours). Bon rapport qualité/prix sur les produits achetés.;2025-01-15 10:28:24;Trustpilot;8.54;Qualité produit, Expérience en magasin
1179;Excellent produit je la recommande…;Excellent produit je la recommande fortement nous prévoyons de racheter le même modèle en 9 kilos en plus de celle ci également les sèche linge 16 kilos dans la gamme Samsung;2025-02-02 10:28:24;Trustpilot;9.28;Qualité produit
1180;si il y avait 0 étoile;si il y avait 0 étoile, j aurais mis 0 en très très grosLave linge signalé en panne le 13 01 sous garantieDepuis ras malgré 2 h 50 d attente au téléphone et des mails sans réponseon est le 03 02 tjrs rien!!!!Où est le sav!!!!Lamentable triple 000;2025-01-13 10:28:24;Trustpilot;2.79;Service et SAV
1181;J’ai commandé un réfrigérateur…;J’ai commandé un réfrigérateur congélateur beige sur le site But.fr. Livraison samedi matin d’un réfrigérateur simple beige !! Première photo du site à l’appui. On m’a dit ERREUR DE PHOTO SUR SITE on ne peut rien faire car la réf est la bonne! J’ai quand même été trompé par la première photo ! On me répond FALLAIT FAIRE DÉFILER LES PHOTOS !!!!!! Dans tout les cas soyez prudents faite bien attention. Le service client n’est pas à la hauteur de ce que j’attendais.;2025-02-01 10:28:24;Trustpilot;4.9;Qualité produit, Expérience e-commerce, Service et SAV
1182;Vendeur sympas et compétent;Vendeur sympas et compétent;2025-01-25 10:28:24;Trustpilot;8.03;Expérience en magasin
1183;Très bien;Très bien. Vendeur cordiale et disponible.;2025-01-31 10:28:24;Trustpilot;9.13;Expérience en magasin
1184;Prix très intéressants;Magasin bien achalandé et aux prix très attractif !;2025-01-24 10:28:24;Trustpilot;8.68;Expérience en magasin
1185;Achat au magasin BUT COLMAR;Achat au magasin BUT COLMAR. Très beau magasin et un large choix;2025-01-30 10:28:24;Trustpilot;8.63;Expérience en magasin
1186;Parfait;Article conforme  à  ma commande assise très confortable j apprécié beaucoup le système  électrique;2025-02-01 10:28:24;Trustpilot;8.77;Qualité produit
1187;A fuir;A fuir commande prévue pour une livraison le 25/01 aucune nouvelle pris contact avec le service client qui au vue des réponses se soucis vraiment pas du client lamentable Ma commande porte sur un canapé avec livraison;2025-01-11 10:28:24;Trustpilot;1.91;Expérience e-commerce, Service et SAV
1188;Personnel à notre écoute est très…;Personnel à notre écoute est très sympathique ce qui n'est pas le cas de toutes les enseignes. De plus ils ne sont pas là pour vendre les articles les plus chers mais vraiment les articles qui correspondent à nos attentes;2025-01-24 10:28:24;Trustpilot;8.58;Expérience en magasin
1189;Très bon rapport qualité prix;Très bon rapport qualité prix;2025-01-23 10:28:24;Trustpilot;9.05;Qualité produit
1190;Bons conseils de la vendeuse et bon…;Bons conseils de la vendeuse et bon rapport qualité prix;2025-01-29 10:28:24;Trustpilot;7.59;Qualité produit, Expérience en magasin
1191;A fuir;"A fuir ! aucune fiabilité sur les commandes !Une commande passée en ligne, un jour de mise à disposition en magasin annoncé (5 jours plus tard). Le jour de mise à disposition : un message annonçant que la commande ne serait pas disponible ""mais ne vous inquiétez pas, elle devrait être disponible sous 6 jours"". Mais dans quel monde vit cette plateforme ? et après on s'étonne que les américains remportent le marché...";2025-02-01 10:28:24;Trustpilot;1.07;Expérience e-commerce
1192;Bonne chance;j ai achete une cuisine dans le magasin BUT ALBI pour une valeur de neuf milles euros il m a fallu attendre plus de 15 mois de galere pour enfin voir la cuisine terminee  un poseur pas du tout professionnel et la cerise sur le gateau le directeur du magasin BUT ALBI me propose de depose plainte c est une attitude de voyous;2025-01-31 10:28:24;Trustpilot;1.27;Expérience en magasin, Service et SAV, Montage et installation
1193;Communication déplorable;"Bonjour,Commande effectuée le 12 janvier 2025 en magasin , date de livraison estimée le 23 janvier 2025 en magasin.Le jour de la ""censée"" livraison je reçois un SMS pour me prévenir que ma livraison aurait du retard , ok pas de problème malgré la promesse sur votre site de retrait en 6 jours en boutique , confirmé par la vendeuse (1er mensonge) cela peut arriver , je patiente.Appel au magasin de Valence ( lieu de la commande) le 26 janvier pour avoir plus d'informations, l'hôtesse me préviens que ma commande a bien été expédiée le 17 janvier et qu'effectivement elle a du retard mais n'a aucun moyen de me communiquer le pourquoi du comment ... pas de soucis , encore une fois cela arrive ... Elle m'informe que la nouvelle date de livraison estimée est au 29 janvier ok je patiente.Aujourd'hui, 31 janvier 2025 toujours aucune nouvelle de ma commande , le suivi est bloqué. Pensez vous que je recevrais mon meuble avant la fin de la garantie nationale de 2 ans ??? Aucune info, aucune communication , j'ai été débitée du prix du meuble que je n'ai toujours pas !! Quelle déception ! D'autant plus que visiblement il est disponible au magasin de Crest, j'aurais eu plus vite fait de me déplacer jusque là ! Je n'ai aucune nouvelles , quel manque de respect envers vos clients , votre politique de communication est vraiment à revoir , encore une fois des retards arrivent mais communiquez à vos clients me semble le minimum. Alors quelle solution comptez vous m'apporter ??? Ou est ma commande ??? Dois je faire jouer la protection acheteur pour que vous preniez en considération ma demande ???? Je commence à m'agacer de votre non communication !! J'attends de vous une explication . MerciIl va s'en dire que j'ai également fait une réclamation via votre site.PS : L'unique étoile attribuée est a l'attention de la petite hôtesse que j'ai eu au téléphone et qui a été charmante .";2025-01-12 10:28:24;Trustpilot;2;Service et SAV, Expérience en magasin, Expérience e-commerce
1194;But à éviter à tout prix;But sait vendre mais par contre le SAV est 0. Panne de lave vaisselle Whirlpool avant les 2ans de garantie. Le SAV vous oblige à vérifier 4fois que votre lave vaisselle est propre. Comme ça vous les appelez et vous êtes facturé. Ensuite on vous dit qu’un technicien passera entre 3 et 10 j pour réparer le lave vaisselle. Au bout de 12j toujours rien. Vous rappelez et on ne vous répond pas. L’accueil vous dit qu’un conseiller va vous rappeler. Au lieu de ça vous recevez un sms avec une date d’intervention 1 mois plus tard soit le 27/2/25. Vous rappelez le SAV. Cette fois il y a quelqu’un. Et là on vous dit qu’il n’y a pas d’intervention plus tôt. Vous expliquez que vous êtes enceinte en fin de grossesse et que la moindre des choses est de prêter un matériel. Mais ils n’en ont pas. But est à éviter. C’est inadmissible.;2025-01-16 10:28:24;Trustpilot;2.96;Service et SAV
1195;Literie matelas et sommier;Tout d'abord, je tiens à féliciter le vendeur Mathieu qui nous a aidé dans notre choix. Il est à l écoute et a une très bonne connaissance du domaine literie. Lorsque nous sommes revenus, nous avons eu affaire à un autre vendeur...un peu dépassé.  Heureusement, nous savions ce que nous voulions.  Pour la livraison du matelas, il nous a dit et noté qu'ils allaient reprendre aussi la structure du BZ. Au téléphone, pour le rdv, la personne nous a dit que non vu qu'on ne se faisait livrer que le matelas. Je tiens à préciser que le sommier démontable rentrait dans notre voiture. Il vaut mieux dans ce cas là être au diapason entre services surtout vis à vis du client,   Je recommande ce petit magasin BUT malgré ce petit hic.;2025-01-22 10:28:24;Trustpilot;7.25;Expérience en magasin, Service et SAV
1196;But en ligne.. plus jamais !;Délai de livraison non respecté et le nouveau délai donné reste au conditionnel. Dialogue un peu lunaire avec le service client. Je préfère annuler ma commande mais je ne retenterai pas l'expérience de l'achat en ligne avec But.;2025-01-31 10:28:24;Trustpilot;2.54;Expérience e-commerce, Service et SAV
1197;SUPER EXPERIENCE;très bonne expérience la petite vendeuse super sympathique la récupération de la table n'a pas posé de problème accueil aussi sympathique, rien à redire;2025-01-23 10:28:24;Trustpilot;8.75;Expérience en magasin
1198;très content de tout;;2025-02-10 10:28:24;Trustpilot;;
1199;Livreur Ingrat et Incapable;Livraison d'un frigo chez ma maman de 80 ans, dans une maison facilement accessible et cet incapable et ingrat livreur à refusé catégoriquement de l'aider à rentrer le frigo dans la maison et l'a laissé sans scrupule à l'extérieur. C'est HONTEUX, pour ce livreur, ce transporteur et désolant que BUT (le vendeur) nous fasse subir ce manque de professionnalisme.;2025-01-31 10:28:24;Trustpilot;0.81;Expérience e-commerce, Service et SAV
1200;Je commande sur but.fr un congélateur…;Je commande sur but.fr un congélateur en stock en retrait sous 4 jour au magasin de la croix blanche St Geneviève 91700 et le jour venu pas de mail !En contactant le service client, comme je pouvais m'y attendre la livraison est reportée !!!!!Ce sont des menteurs quand vous passez la commande ils vous disent que c'est en stock pour récupérer une commande et en fin de compte il n'est peut être même pas fabriqué !!!Darty opère de la même manière et après on s'étonne que l'on achète sur Amazon !!!;2025-01-31 10:28:24;Trustpilot;4.25;Service et SAV, Expérience e-commerce
1201;BUT ANGERS;BUT ANGERS - Four HOTPOINT  acheté le 18 janvier 2025, 3 utilisations et la graisse apparaît déjà entre les vitres !!! impossible d'avoir un technicien pour expliquer cet état de fait, ce n'est pas une panne. Je ne recommande donc ni le SAV de BUT très fortement incompétent (la première interlocutrice a même laissé la patate chaude à une collègue en me disant de rappeler 10 mn apprès :) et ni la marque HOTPOINT qui me dit d'appeler BUT...) je suis devenu un futur ex client;2025-01-28 10:28:24;Trustpilot;1.12;Qualité produit, Service et SAV
1202;Il ne faut surtout pas paié part chéque…;Il ne faut surtout pas paié part chéque chez BUT,car si vous vous annuler une commande comme je l'ai fait,on ne vous rembourse que 15 jours après,je trouve cela innamissible,il travaille avec notre ARGENT COMME LES BANQUES.;2025-01-13 10:28:24;Trustpilot;4.37;Financement et promotions, Service et SAV, Expérience e-commerce
1203;Sav lave vaisselle;Tous est nul tu passe ton temps au téléphone pour rien sav incompétent a fuir;2025-01-29 10:28:24;Trustpilot;0.65;Service et SAV
1204;Bonjour à tous;Bonjour à tous, n’achetez jamais sur ce site Sav insuffisant même dérisoire reçu un article pour les fêtes de Noël en litige ça fait deux mois pour finir, ils vous font toujours un dédommagement de 10 % sur le produit donc zéro à vrai dire  pour des produits des fois qui sont à des tarifs exorbitants;2025-01-29 10:28:24;Trustpilot;1.46;Service et SAV, Qualité produit, Expérience e-commerce
1205;Très doux;Très doux, mais pas très grand;2025-01-27 10:28:24;Trustpilot;6.56;Qualité produit
1206;Achat petit électroménager;Personnel accueillant, souriant, disponible, du vendeur comme l'hôtesse de caisse. Ras ne changez rien .;2025-01-11 10:28:24;Trustpilot;7.11;Expérience en magasin
1207;Toujours en attente de livraison;"MAJJe modifie, pour une étoile.J'ai appelé le 3/02/24 au magasin, on m'a dit que la commande arrivait le lendemain au magasin et que je devais rappeler le 5/02 s'ils ne m'appelaient pas. J'appelle donc ce jour et on me dit que la commande n'est pas arrivée et qu'il n'y a pas d'infos à son sujet...Et le pire...tout le monde s'en tape !Nous avons commandé matelas + sommier en LLD le 4 décembre au magasin de Sarreguemines. Le délai annoncé était de 5 semaines. Nous attendons toujours et on nous dit que ""ça va arriver""... (le produit est dispo dans plusieurs magasins autour...). J'ajouterais que le magasin est injoignable. Obligé de passer par une plateforme globale puis ça sonne dans le vide une fois redirigé vers le magasin. Obligés de se déplacer au magasin pour avoir un renseignement.";2025-01-28 10:28:24;Trustpilot;1.58;Expérience e-commerce, Service et SAV, Expérience en magasin
1208;Service après vente;Frigo acheté 5/08/2023 après 3.4 mois de service déjà en panne. Celle-ci fut résolue. Et de nouveau la même panne j'ai contacté le service après vente le 24/01 . Le 28 pas de nouvelle je rappelle et la on me dit qu'il faut être patient et faire comme tout le monde attendre . Je signale quand même que c'est plus rapide de vendre et la on me raccroché au nez. Je préfère acheter sur internet nous sommes mieux servi.;2025-01-28 10:28:24;Trustpilot;3.54;Service et SAV, Qualité produit, Expérience e-commerce
1209;Inadmissible;Inadmissible. À fuir.Lave-linge en panne depuis une semaine.Alors qu’il est neuf (quatre mois).Service après-vente qui demande des heures d’attente avec un répondeur.Quand on parvient à avoir quelqu’un on nous dit d’attendre un SMS pour la prise d’un rendez-vous. Ce SMS n’arrive jamais depuis mercredi.Sans lave-linge depuis une semaine et sans nouvelles. J’ai déjà rappelé deux fois en vain, pour la même réponse.BUT prend l’argent de ses clients et les laisse sans scrupules dans la difficulté.Inadmissible.Je le fais bien savoir autour de moi.;2025-01-28 10:28:24;Trustpilot;0.89;Service et SAV, Qualité produit
1210;Bon accueil;Bon accueil,  grand choix de produits,  prix intéressants;2025-01-19 10:28:24;Trustpilot;8.12;Expérience en magasin
1211;Bravo à but mondeville 2;Une mention particulière au magasin but de mondeville 2. Le directeur est intervenu personnellement pour un souci avec le sav de chez sfg. J ai été prise en charge par la responsable du rayon lave linge ainsi que parle vendeur Christopher. Un professionnalisme hors du commun. Vraiment bravo et mille merci pour votre aide. Rarement aussi bien reçue, conseillée. Un sens du service commercial extraordinaire !!!!! 👌;2025-01-27 10:28:24;Trustpilot;8.51;Expérience en magasin, Service et SAV
1212;Fauteuil acheté à 1800 euros;"Fauteuil acheté à 1800 euros. Qui se casse à deux endroits en quelques moi. Aytant contracté une assurance à 220 euros je ne me doute pas de la galère qui m'attend. But me fait comprendre que j'aurai de la chance si le fabriquant accepte de me rendre un fauteuil neuf et qu'il faudra que je prenne un de leur camion pour venir le chercher le cas échéant. Puis plus de news pendant deux mois ... But en semlble pas connaître la garantie légale de conformité pourtant ""légale"" comme son no ml'indique. Procédure judiciaire en cours.";2025-01-09 10:28:25;Trustpilot;2.82;Service et SAV, Qualité produit
1213;La qualité des meubles But c'est…;La qualité des meubles But c'est tellement degradé, c'est affolant pour le prix.. Ca a toujours été de l'agglomérer a monter sois meme, tout comme ses concurrents, mais là ce meme aggloméré se desagrége au montage maintenant et ne tient plus dans le temps,table basse acheté il y 5 mois, les pieds ne tiennent deja plus,et armoire de chambre 600€ acheté il y a 3 mois, les tiroirs sont deja branguebalant et partent en petits morceaux, et les notices, c'est de pire en pire.. But c'est fini pour moi, j'irai voir la prochaine fois si Confo ou autre Ikéa ont suivi la meme politique de déqualité au profit de la marge !;2025-01-10 10:28:25;Trustpilot;1.57;Qualité produit, Montage et installation
1214;Commandez les mêmes produits ailleurs !;Commande du 12/11 d’un sèche linge LG remisé pour une livraison au plus tard le 10/12. Je contacte BUT pour demander l’avancé de ma commande le 10/12 car aucun suivi ni de livraison en prévision. On m’annonce que les livraisons décalée au 14/01. Pas de suivi ni de livraison prévue à cette date, je tente de les joindre par téléphone, on m’annonce que le service concerné est injoignable et que je serais recontactée. Sans surprise, personne ne m’a recontacté, puis j’ai un nouveau email pour un retard de livraison au 03/02. J’ai du annuler ma commande le 24/01.Les livraisons semblent être décalées jusqu'à ce que les clients annulent d'eux même. Est-ce parce qu'il y a eu une erreur sur la remise du produit ?En parallèle je constate en décembre que le modèle que j’ai acheté sur internet est disponible au magasin a coté de chez moi. Ils ont refusé de m’en attribuer un. Amabilité du service client limite. Aucun suivi de commande.Délais intenables. Promotions abusives non honorées ????;2025-01-24 10:28:25;Trustpilot;1.15;Financement et promotions, Expérience e-commerce, Service et SAV
1215;A fuire;Il y a une étoile car on peut pas mettre moins 3 mois que nous avons fait une demande de sav pour un joint de machine à laver et toujours rien on a eu plusieurs rendez vous donné mais toujours annulé au dernier moment par le technicien qui n a pas reçu la pièce ou aujourd'hui l a bien reçu mais celle ci est soit disant défectueuse  j ai envoyé un mail de réclamation quelqu un devait me contacter cela fait 3semaines et toujours rien vaut mieux acheter sur internet sur des site marchand car le sav est beaucoup plus sérieux;2025-01-27 10:28:25;Trustpilot;2.44;Expérience e-commerce, Service et SAV, Qualité produit
